source_file,reference,status,resolved_target
extensions/apify-agent-skills/skills/apify-actor-development/SKILL.md,references/standby-mode.md,ok,/Users/steven/my-supremepowers/extensions/apify-agent-skills/skills/apify-actor-development/references/standby-mode.md
extensions/apify-agent-skills/skills/apify-actorization/SKILL.md,references/cli-actorization.md,ok,/Users/steven/my-supremepowers/extensions/apify-agent-skills/skills/apify-actorization/references/cli-actorization.md
extensions/apify-agent-skills/skills/apify-actorization/SKILL.md,references/js-ts-actorization.md,ok,/Users/steven/my-supremepowers/extensions/apify-agent-skills/skills/apify-actorization/references/js-ts-actorization.md
extensions/apify-agent-skills/skills/apify-actorization/SKILL.md,references/python-actorization.md,ok,/Users/steven/my-supremepowers/extensions/apify-agent-skills/skills/apify-actorization/references/python-actorization.md
extensions/apify-agent-skills/skills/apify-actorization/SKILL.md,references/schemas-and-output.md,ok,/Users/steven/my-supremepowers/extensions/apify-agent-skills/skills/apify-actorization/references/schemas-and-output.md
extensions/apify-agent-skills/skills/apify-actorization/references/js-ts-actorization.md,../../apify-actor-development/references/standby-mode.md,ok,/Users/steven/my-supremepowers/extensions/apify-agent-skills/skills/apify-actorization/references/../../apify-actor-development/references/standby-mode.md
extensions/boring/CONTRIBUTING.md,MAINTAINERS.md,missing,/Users/steven/my-supremepowers/extensions/boring/MAINTAINERS.md
extensions/boring/CONTRIBUTING.md,docs/MAINTAINABILITY.md,missing,/Users/steven/my-supremepowers/extensions/boring/docs/MAINTAINABILITY.md
extensions/boring/CONTRIBUTING.md,docs/MAINTAINABILITY_CHECKLIST.md,missing,/Users/steven/my-supremepowers/extensions/boring/docs/MAINTAINABILITY_CHECKLIST.md
extensions/boring/CONTRIBUTING.md,docs/adr/README.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/adr/README.md
extensions/boring/CONTRIBUTING.md,docs/guides/plugins_zh.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/guides/plugins_zh.md
extensions/boring/CONTRIBUTING.md,docs/guides/plugins_zh.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/guides/plugins_zh.md
extensions/boring/CONTRIBUTING.md,docs/reference/contributing.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/reference/contributing.md
extensions/boring/CONTRIBUTING.md,docs/reference/feature-matrix.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/reference/feature-matrix.md
extensions/boring/CONTRIBUTING.md,docs/reference/llm-adapters.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/reference/llm-adapters.md
